model,num_atoms,atom_name,lattice_constant,time,std,precision,gpu
SevenNet-l3i5,8,Si,5.43,43.99251937866211,4.27441274754815,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,64,Si,5.43,46.538352966308594,0.6697519491758158,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,216,Si,5.43,47.324180603027344,0.7524540081814749,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,512,Si,5.43,73.37093353271484,0.6658179771629368,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,1000,Si,5.43,146.9714641571045,0.3407182805242845,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,1728,Si,5.43,255.02777099609375,0.5873171274544049,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,2744,Si,5.43,410.31694412231445,0.571039877127173,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,4096,Si,5.43,620.7582950592041,0.5747899409812112,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,5832,Si,5.43,885.7520818710327,2.1943077830217272,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,8000,Si,5.43,1227.7460098266602,1.7259044985624463,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,10648,Si,5.43,1647.8534936904907,1.9769943409449733,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,8,Si,5.43,33.61070156097412,0.08724584913463675,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,64,Si,5.43,34.00743007659912,0.17495837324056326,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,216,Si,5.43,34.98876094818115,0.15940410119572135,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,512,Si,5.43,37.058472633361816,0.3499496239016908,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,1000,Si,5.43,39.7568941116333,0.27141518781902196,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,1728,Si,5.43,43.7086820602417,0.2708545146555065,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,2744,Si,5.43,49.909353256225586,0.38802942399944734,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,4096,Si,5.43,61.918020248413086,0.23269970630699544,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,5832,Si,5.43,80.24406433105469,0.257508999660214,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,8000,Si,5.43,108.13736915588379,0.27860625204459394,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,10648,Si,5.43,153.7463665008545,3.280702713041454,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,13824,Si,5.43,179.95715141296387,3.0006591852930105,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,17576,Si,5.43,244.28415298461914,0.8256687666231594,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,21952,Si,5.43,296.04363441467285,3.093980600266895,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,27000,Si,5.43,383.35418701171875,6.318260197295998,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,32768,Si,5.43,464.2610549926758,7.594584104357784,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,39304,Si,5.43,552.8903007507324,14.989686446754858,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,46656,Si,5.43,661.8812084197998,6.558458873343128,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,54872,Si,5.43,789.9467945098877,0.9025518547650119,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5-cueq,64000,Si,5.43,913.4632349014282,1.1254525175907637,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,8,Si,5.43,25.1009464263916,0.33521526124128304,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,64,Si,5.43,25.54142475128174,0.1498776157414716,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,216,Si,5.43,26.45397186279297,0.10393817447391347,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,512,Si,5.43,28.678536415100098,0.2280251694957887,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,1000,Si,5.43,31.357645988464355,0.19075556285116635,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,1728,Si,5.43,34.77585315704346,0.31712125176813655,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,2744,Si,5.43,40.49694538116455,0.19326882553022773,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,4096,Si,5.43,49.042582511901855,0.5824538717429038,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,5832,Si,5.43,61.47325038909912,1.376506891079554,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,8000,Si,5.43,79.04434204101562,3.3162444854314024,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,10648,Si,5.43,110.14914512634277,3.2323875727677387,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,13824,Si,5.43,137.98117637634277,1.3672124515943744,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,17576,Si,5.43,173.67172241210938,3.701867747806469,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,21952,Si,5.43,205.44910430908203,1.067947795465301,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,27000,Si,5.43,269.101619720459,4.338169015598468,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,32768,Si,5.43,327.36194133758545,2.4188838074298724,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,39304,Si,5.43,393.2642936706543,9.675161170815931,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,46656,Si,5.43,477.07581520080566,420.92735533100506,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-0-cueq,54872,Si,5.43,558.6564540863037,3.044236045476533,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
